sample_id,run_group,run_id,label_img_path,label_mask_path,run_img_dir,run_img_paths,flip,rotate
HS001,orient,Run01,nan,nan,HS001/Run01,"['HS001/Run01/image sample 440nm.png', 'HS001/Run01/image sample 450nm.png', 'HS001/Run01/image sample 460nm.png', 'HS001/Run01/image sample 470nm.png', 'HS001/Run01/image sample 480nm.png', 'HS001/Run01/image sample 490nm.png', 'HS001/Run01/image sample 500nm.png', 'HS001/Run01/image sample 510nm.png', 'HS001/Run01/image sample 520nm.png', 'HS001/Run01/image sample 530nm.png', 'HS001/Run01/image sample 540nm.png', 'HS001/Run01/image sample 550nm.png', 'HS001/Run01/image sample 560nm.png', 'HS001/Run01/image sample 570nm.png', 'HS001/Run01/image sample 580nm.png', 'HS001/Run01/image sample 590nm.png', 'HS001/Run01/image sample 600nm.png', 'HS001/Run01/image sample 610nm.png', 'HS001/Run01/image sample 620nm.png', 'HS001/Run01/image sample 630nm.png', 'HS001/Run01/image sample 640nm.png', 'HS001/Run01/image sample 650nm.png', 'HS001/Run01/image sample 660nm.png', 'HS001/Run01/image sample 670nm.png', 'HS001/Run01/image sample 680nm.png', 'HS001/Run01/image sample 690nm.png', 'HS001/Run01/image sample 700nm.png', 'HS001/Run01/image sample 710nm.png', 'HS001/Run01/image sample 720nm.png']",None,nan
HS001,white,Run02,nan,nan,HS001/Run02,"['HS001/Run02/image sample 440nm.png', 'HS001/Run02/image sample 450nm.png', 'HS001/Run02/image sample 460nm.png', 'HS001/Run02/image sample 470nm.png', 'HS001/Run02/image sample 480nm.png', 'HS001/Run02/image sample 490nm.png', 'HS001/Run02/image sample 500nm.png', 'HS001/Run02/image sample 510nm.png', 'HS001/Run02/image sample 520nm.png', 'HS001/Run02/image sample 530nm.png', 'HS001/Run02/image sample 540nm.png', 'HS001/Run02/image sample 550nm.png', 'HS001/Run02/image sample 560nm.png', 'HS001/Run02/image sample 570nm.png', 'HS001/Run02/image sample 580nm.png', 'HS001/Run02/image sample 590nm.png', 'HS001/Run02/image sample 600nm.png', 'HS001/Run02/image sample 610nm.png', 'HS001/Run02/image sample 620nm.png', 'HS001/Run02/image sample 630nm.png', 'HS001/Run02/image sample 640nm.png', 'HS001/Run02/image sample 650nm.png', 'HS001/Run02/image sample 660nm.png', 'HS001/Run02/image sample 670nm.png', 'HS001/Run02/image sample 680nm.png', 'HS001/Run02/image sample 690nm.png', 'HS001/Run02/image sample 700nm.png', 'HS001/Run02/image sample 710nm.png', 'HS001/Run02/image sample 720nm.png']",None,nan
HS001,white,Run03,nan,nan,HS001/Run03,"['HS001/Run03/image sample 440nm.png', 'HS001/Run03/image sample 450nm.png', 'HS001/Run03/image sample 460nm.png', 'HS001/Run03/image sample 470nm.png', 'HS001/Run03/image sample 480nm.png', 'HS001/Run03/image sample 490nm.png', 'HS001/Run03/image sample 500nm.png', 'HS001/Run03/image sample 510nm.png', 'HS001/Run03/image sample 520nm.png', 'HS001/Run03/image sample 530nm.png', 'HS001/Run03/image sample 540nm.png', 'HS001/Run03/image sample 550nm.png', 'HS001/Run03/image sample 560nm.png', 'HS001/Run03/image sample 570nm.png', 'HS001/Run03/image sample 580nm.png', 'HS001/Run03/image sample 590nm.png', 'HS001/Run03/image sample 600nm.png', 'HS001/Run03/image sample 610nm.png', 'HS001/Run03/image sample 620nm.png', 'HS001/Run03/image sample 630nm.png', 'HS001/Run03/image sample 640nm.png', 'HS001/Run03/image sample 650nm.png', 'HS001/Run03/image sample 660nm.png', 'HS001/Run03/image sample 670nm.png', 'HS001/Run03/image sample 680nm.png', 'HS001/Run03/image sample 690nm.png', 'HS001/Run03/image sample 700nm.png', 'HS001/Run03/image sample 710nm.png', 'HS001/Run03/image sample 720nm.png']",None,nan
HS001,Run 04-08,Run04,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I SEGMENTED.json,HS001/Run04,"['HS001/Run04/image sample 440nm.png', 'HS001/Run04/image sample 450nm.png', 'HS001/Run04/image sample 460nm.png', 'HS001/Run04/image sample 470nm.png', 'HS001/Run04/image sample 480nm.png', 'HS001/Run04/image sample 490nm.png', 'HS001/Run04/image sample 500nm.png', 'HS001/Run04/image sample 510nm.png', 'HS001/Run04/image sample 520nm.png', 'HS001/Run04/image sample 530nm.png', 'HS001/Run04/image sample 540nm.png', 'HS001/Run04/image sample 550nm.png', 'HS001/Run04/image sample 560nm.png', 'HS001/Run04/image sample 570nm.png', 'HS001/Run04/image sample 580nm.png', 'HS001/Run04/image sample 590nm.png', 'HS001/Run04/image sample 600nm.png', 'HS001/Run04/image sample 610nm.png', 'HS001/Run04/image sample 620nm.png', 'HS001/Run04/image sample 630nm.png', 'HS001/Run04/image sample 640nm.png', 'HS001/Run04/image sample 650nm.png', 'HS001/Run04/image sample 660nm.png', 'HS001/Run04/image sample 670nm.png', 'HS001/Run04/image sample 680nm.png', 'HS001/Run04/image sample 690nm.png', 'HS001/Run04/image sample 700nm.png', 'HS001/Run04/image sample 710nm.png', 'HS001/Run04/image sample 720nm.png']",v,0.0
HS001,Run 04-08,Run05,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I SEGMENTED.json,HS001/Run05,"['HS001/Run05/image sample 440nm.png', 'HS001/Run05/image sample 450nm.png', 'HS001/Run05/image sample 460nm.png', 'HS001/Run05/image sample 470nm.png', 'HS001/Run05/image sample 480nm.png', 'HS001/Run05/image sample 490nm.png', 'HS001/Run05/image sample 500nm.png', 'HS001/Run05/image sample 510nm.png', 'HS001/Run05/image sample 520nm.png', 'HS001/Run05/image sample 530nm.png', 'HS001/Run05/image sample 540nm.png', 'HS001/Run05/image sample 550nm.png', 'HS001/Run05/image sample 560nm.png', 'HS001/Run05/image sample 570nm.png', 'HS001/Run05/image sample 580nm.png', 'HS001/Run05/image sample 590nm.png', 'HS001/Run05/image sample 600nm.png', 'HS001/Run05/image sample 610nm.png', 'HS001/Run05/image sample 620nm.png', 'HS001/Run05/image sample 630nm.png', 'HS001/Run05/image sample 640nm.png', 'HS001/Run05/image sample 650nm.png', 'HS001/Run05/image sample 660nm.png', 'HS001/Run05/image sample 670nm.png', 'HS001/Run05/image sample 680nm.png', 'HS001/Run05/image sample 690nm.png', 'HS001/Run05/image sample 700nm.png', 'HS001/Run05/image sample 710nm.png', 'HS001/Run05/image sample 720nm.png']",v,0.0
HS001,Run 04-08,Run06,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I SEGMENTED.json,HS001/Run06,"['HS001/Run06/image sample 440nm.png', 'HS001/Run06/image sample 450nm.png', 'HS001/Run06/image sample 460nm.png', 'HS001/Run06/image sample 470nm.png', 'HS001/Run06/image sample 480nm.png', 'HS001/Run06/image sample 490nm.png', 'HS001/Run06/image sample 500nm.png', 'HS001/Run06/image sample 510nm.png', 'HS001/Run06/image sample 520nm.png', 'HS001/Run06/image sample 530nm.png', 'HS001/Run06/image sample 540nm.png', 'HS001/Run06/image sample 550nm.png', 'HS001/Run06/image sample 560nm.png', 'HS001/Run06/image sample 570nm.png', 'HS001/Run06/image sample 580nm.png', 'HS001/Run06/image sample 590nm.png', 'HS001/Run06/image sample 600nm.png', 'HS001/Run06/image sample 610nm.png', 'HS001/Run06/image sample 620nm.png', 'HS001/Run06/image sample 630nm.png', 'HS001/Run06/image sample 640nm.png', 'HS001/Run06/image sample 650nm.png', 'HS001/Run06/image sample 660nm.png', 'HS001/Run06/image sample 670nm.png', 'HS001/Run06/image sample 680nm.png', 'HS001/Run06/image sample 690nm.png', 'HS001/Run06/image sample 700nm.png', 'HS001/Run06/image sample 710nm.png', 'HS001/Run06/image sample 720nm.png']",v,0.0
HS001,Run 04-08,Run07,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I SEGMENTED.json,HS001/Run07,"['HS001/Run07/image sample 440nm.png', 'HS001/Run07/image sample 450nm.png', 'HS001/Run07/image sample 460nm.png', 'HS001/Run07/image sample 470nm.png', 'HS001/Run07/image sample 480nm.png', 'HS001/Run07/image sample 490nm.png', 'HS001/Run07/image sample 500nm.png', 'HS001/Run07/image sample 510nm.png', 'HS001/Run07/image sample 520nm.png', 'HS001/Run07/image sample 530nm.png', 'HS001/Run07/image sample 540nm.png', 'HS001/Run07/image sample 550nm.png', 'HS001/Run07/image sample 560nm.png', 'HS001/Run07/image sample 570nm.png', 'HS001/Run07/image sample 580nm.png', 'HS001/Run07/image sample 590nm.png', 'HS001/Run07/image sample 600nm.png', 'HS001/Run07/image sample 610nm.png', 'HS001/Run07/image sample 620nm.png', 'HS001/Run07/image sample 630nm.png', 'HS001/Run07/image sample 640nm.png', 'HS001/Run07/image sample 650nm.png', 'HS001/Run07/image sample 660nm.png', 'HS001/Run07/image sample 670nm.png', 'HS001/Run07/image sample 680nm.png', 'HS001/Run07/image sample 690nm.png', 'HS001/Run07/image sample 700nm.png', 'HS001/Run07/image sample 710nm.png', 'HS001/Run07/image sample 720nm.png']",v,0.0
HS001,Run 04-08,Run08,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 04-08/Patient_1_2021-03-28_10-26-19_I SEGMENTED.json,HS001/Run08,"['HS001/Run08/image sample 440nm.png', 'HS001/Run08/image sample 450nm.png', 'HS001/Run08/image sample 460nm.png', 'HS001/Run08/image sample 470nm.png', 'HS001/Run08/image sample 480nm.png', 'HS001/Run08/image sample 490nm.png', 'HS001/Run08/image sample 500nm.png', 'HS001/Run08/image sample 510nm.png', 'HS001/Run08/image sample 520nm.png', 'HS001/Run08/image sample 530nm.png', 'HS001/Run08/image sample 540nm.png', 'HS001/Run08/image sample 550nm.png', 'HS001/Run08/image sample 560nm.png', 'HS001/Run08/image sample 570nm.png', 'HS001/Run08/image sample 580nm.png', 'HS001/Run08/image sample 590nm.png', 'HS001/Run08/image sample 600nm.png', 'HS001/Run08/image sample 610nm.png', 'HS001/Run08/image sample 620nm.png', 'HS001/Run08/image sample 630nm.png', 'HS001/Run08/image sample 640nm.png', 'HS001/Run08/image sample 650nm.png', 'HS001/Run08/image sample 660nm.png', 'HS001/Run08/image sample 670nm.png', 'HS001/Run08/image sample 680nm.png', 'HS001/Run08/image sample 690nm.png', 'HS001/Run08/image sample 700nm.png', 'HS001/Run08/image sample 710nm.png', 'HS001/Run08/image sample 720nm.png']",v,0.0
HS001,Run 11-12,Run11,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 11-12/Patient_1_2021-03-28_10-23-51_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 11-12/Picture 2 HS002 segmented.json,HS001/Run11,"['HS001/Run11/image sample 440nm.png', 'HS001/Run11/image sample 450nm.png', 'HS001/Run11/image sample 460nm.png', 'HS001/Run11/image sample 470nm.png', 'HS001/Run11/image sample 480nm.png', 'HS001/Run11/image sample 490nm.png', 'HS001/Run11/image sample 500nm.png', 'HS001/Run11/image sample 510nm.png', 'HS001/Run11/image sample 520nm.png', 'HS001/Run11/image sample 530nm.png', 'HS001/Run11/image sample 540nm.png', 'HS001/Run11/image sample 550nm.png', 'HS001/Run11/image sample 560nm.png', 'HS001/Run11/image sample 570nm.png', 'HS001/Run11/image sample 580nm.png', 'HS001/Run11/image sample 590nm.png', 'HS001/Run11/image sample 600nm.png', 'HS001/Run11/image sample 610nm.png', 'HS001/Run11/image sample 620nm.png', 'HS001/Run11/image sample 630nm.png', 'HS001/Run11/image sample 640nm.png', 'HS001/Run11/image sample 650nm.png', 'HS001/Run11/image sample 660nm.png', 'HS001/Run11/image sample 670nm.png', 'HS001/Run11/image sample 680nm.png', 'HS001/Run11/image sample 690nm.png', 'HS001/Run11/image sample 700nm.png', 'HS001/Run11/image sample 710nm.png', 'HS001/Run11/image sample 720nm.png']",v,0.0
HS001,Run 11-12,Run12,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 11-12/Patient_1_2021-03-28_10-23-51_I.JPG,HS001/Labelling data/Definitive segmentation/HS001 - Trial with capillaries excluded/Run 11-12/Picture 2 HS002 segmented.json,HS001/Run12,"['HS001/Run12/image sample 440nm.png', 'HS001/Run12/image sample 450nm.png', 'HS001/Run12/image sample 460nm.png', 'HS001/Run12/image sample 470nm.png', 'HS001/Run12/image sample 480nm.png', 'HS001/Run12/image sample 490nm.png', 'HS001/Run12/image sample 500nm.png', 'HS001/Run12/image sample 510nm.png', 'HS001/Run12/image sample 520nm.png', 'HS001/Run12/image sample 530nm.png', 'HS001/Run12/image sample 540nm.png', 'HS001/Run12/image sample 550nm.png', 'HS001/Run12/image sample 560nm.png', 'HS001/Run12/image sample 570nm.png', 'HS001/Run12/image sample 580nm.png', 'HS001/Run12/image sample 590nm.png', 'HS001/Run12/image sample 600nm.png', 'HS001/Run12/image sample 610nm.png', 'HS001/Run12/image sample 620nm.png', 'HS001/Run12/image sample 630nm.png', 'HS001/Run12/image sample 640nm.png', 'HS001/Run12/image sample 650nm.png', 'HS001/Run12/image sample 660nm.png', 'HS001/Run12/image sample 670nm.png', 'HS001/Run12/image sample 680nm.png', 'HS001/Run12/image sample 690nm.png', 'HS001/Run12/image sample 700nm.png', 'HS001/Run12/image sample 710nm.png', 'HS001/Run12/image sample 720nm.png']",v,0.0
