"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"In-Vivo Hyperspectral Human Brain Image Database for Brain Cancer Detection","H. Fabelo; S. Ortega; A. Szolna; D. Bulters; J. F. Piñeiro; S. Kabwama; A. J-O'Shanahan; H. Bulstrode; S. Bisshopp; B. R. Kiran; D. Ravi; R. Lazcano; D. Madroñal; C. Sosa; C. Espino; M. Marquez; M. De La Luz Plaza; R. Camacho; D. Carrera; M. Hernández; G. M. Callicó; J. Morera Molina; B. Stanciulescu; G. -Z. Yang; R. Salvador; E. Juárez; C. Sanz; R. Sarmiento","Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Wessex Neurological Centre, University Hospital Southampton, Southampton, U.K.; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Wessex Neurological Centre, University Hospital Southampton, Southampton, U.K.; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University of Cambridge, Cambridge, U.K.; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Autonomous Systems, AKKA Technologies, Paris, France; The Hamlyn Centre, Imperial College London, London, U.K.; Centre of Software Technologies and Multimedia Systems, Universidad Politécnica de Madrid, Madrid, Spain; Centre of Software Technologies and Multimedia Systems, Universidad Politécnica de Madrid, Madrid, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Pathological Anatomy, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Pathological Anatomy, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain; Department of Neurosurgery, University Hospital Doctor Negrin, Las Palmas de Gran Canaria, Spain; Ecole Nationale Supérieure des Mines de Paris, MINES ParisTech, Paris, France; The Hamlyn Centre, Imperial College London, London, U.K.; Centre of Software Technologies and Multimedia Systems, Universidad Politécnica de Madrid, Madrid, Spain; Centre of Software Technologies and Multimedia Systems, Universidad Politécnica de Madrid, Madrid, Spain; Centre of Software Technologies and Multimedia Systems, Universidad Politécnica de Madrid, Madrid, Spain; Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain","IEEE Access","2 Apr 2019","2019","7","","39098","39116","The use of hyperspectral imaging for medical applications is becoming more common in recent years. One of the main obstacles that researchers find when developing hyperspectral algorithms for medical applications is the lack of specific, publicly available, and hyperspectral medical data. The work described in this paper was developed within the framework of the European project HELICoiD (HypErspectraL Imaging Cancer Detection), which had as a main goal the application of hyperspectral imaging to the delineation of brain tumors in real-time during neurosurgical operations. In this paper, the methodology followed to generate the first hyperspectral database of in-vivo human brain tissues is presented. Data was acquired employing a customized hyperspectral acquisition system capable of capturing information in the Visual and Near InfraRed (VNIR) range from 400 to 1000 nm. Repeatability was assessed for the cases where two images of the same scene were captured consecutively. The analysis reveals that the system works more efficiently in the spectral range between 450 and 900 nm. A total of 36 hyperspectral images from 22 different patients were obtained. From these data, more than 300 000 spectral signatures were labeled employing a semi-automatic methodology based on the spectral angle mapper algorithm. Four different classes were defined: normal tissue, tumor tissue, blood vessel, and background elements. All the hyperspectral data has been made available in a public repository.","2169-3536","","10.1109/ACCESS.2019.2904788","Seventh Framework Programme(grant numbers:618080); European Commission through the FP7 FET (Future and Emerging Technologies) Open Programme ICT-2011.9.2; Agencia Canaria de Investigación, Innovación y Sociedad de la Información(grant numbers:ProID2017010164); Canary Islands Government through the Canarian Agency for Research, Innovation and the Information Society (ACIISI); Universidad de Las Palmas de Gran Canaria; “Agencia Canaria de Investigacion, Innovacion y Sociedad de la Información (ACIISI)” of the “Conserjería de Economía, Industria, Comercio y Conocimiento” of the “Gobierno de Canarias”; European Social Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667294","Hyperspectral imaging;cancer detection;biomedical imaging;medical diagnostic imaging;image databases","Tumors;Hyperspectral imaging;Brain;Surgery;Hospitals;Magnetic resonance imaging","biomedical optical imaging;blood vessels;brain;cancer;hyperspectral imaging;image classification;image segmentation;medical image processing;object detection;tumours","medical applications;hyperspectral algorithms;hyperspectral medical data;brain tumors;hyperspectral database;in-vivo human brain tissues;customized hyperspectral acquisition system;36 hyperspectral images;hyperspectral data;in vivo hyperspectral human brain image database;hyperspectral imaging cancer detection","","58","","60","OAPA","14 Mar 2019","","","IEEE","IEEE Journals"
"Demo: HELICoiD tool demonstrator for real-time brain cancer detection","R. Salvador; H. Fabelo; R. Lazcano; S. Ortega; D. Madroñal; G. M. Callicó; E. Juárez; C. Sanz","Centre of Software Technologies and Multimedia Systems (CITSEM), Technical University of Madrid (UPM), Spain; Canaria (ULPGC), University of Las Palmas de Gran, Spain; Centre of Software Technologies and Multimedia Systems (CITSEM), Technical University of Madrid (UPM), Spain; Canaria (ULPGC), University of Las Palmas de Gran, Spain; Centre of Software Technologies and Multimedia Systems (CITSEM), Technical University of Madrid (UPM), Spain; Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Islas Canarias, ES; Centre of Software Technologies and Multimedia Systems (CITSEM), Technical University of Madrid (UPM), Spain; Centre of Software Technologies and Multimedia Systems (CITSEM), Technical University of, Madrid (UPM), Spain","2016 Conference on Design and Architectures for Signal and Image Processing (DASIP)","16 Feb 2017","2016","","","237","238","In this paper, a demonstrator of three different elements of the EU FET HELICoiD project is introduced. The goal of this demonstration is to show how the combination of hyperspectral imaging and machine learning can be a potential solution to precise real-time detection of tumor tissues during surgical operations. The HELICoiD setup consists of two hyperspectral cameras, a scanning unit, an illumination system, a data processing system and an EMB01 accelerator platform, which hosts an MPPA-256 manycore chip. All the components are mounted fulfilling restrictions from surgical environments, as shown in the accompanying video recorded at the operating room. An in-vivo human brain hyperspectral image data base, obtained at the University Hospital Doctor Negrin in Las Palmas de Gran Canaria, has been employed as input to different supervised classification algorithms (SVM, RF, NN) and to a spatial-spectral filtering stage (SVM-KNN). The resulting classification maps are shown in this demo. In addition, the implementation of the SVM-KNN classification algorithm on the MPPA EMB01 platform is demonstrated in the live demo.","","979-1-0922-7915-3","10.1109/DASIP.2016.7853831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7853831","Hyperspectral Imaging;Machine Learning;Supervised Classification;Massively Parallel Processing;Real Time Processing;KNN Filtering","Hyperspectral imaging;Tumors;Surgery;Classification algorithms;Cancer;Real-time systems","biological tissues;brain;cancer;hyperspectral imaging;image classification;image filtering;medical image processing;neural nets;spatial filters;spectral analysis;support vector machines;surgery","HELICoiD tool demonstrator;real-time brain cancer detection;EU FET HELICoiD project;hyperspectral imaging;machine learning;real-time tumor tissue detection;surgical operations;hyperspectral cameras;scanning unit;illumination system;data processing system;EMB01 accelerator platform;MPPA-256 manycore chip;in-vivo human brain hyperspectral image database;supervised classification;RF;spatial-spectral filtering;classification maps;SVM-KNN classification algorithm;MPPA EMB01 platform","","3","","2","","16 Feb 2017","","","IEEE","IEEE Conferences"
"Can Hyperspectral Images be used to detect Brain tumor pixels and their malignant phenotypes?","A. Martínez-González; A. D. Valle; H. Fabelo; S. Ortega; G. Callicó","Dept. of Mathematics, UCLM, Mathematical Oncology Laboratory (MôLAB), Ciudad Real, Spain; Dept. of Mathematics, UCLM, Mathematical Oncology Laboratory (MôLAB), Ciudad Real, Spain; Institute for Applied Microelectronics, ULPGC, Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics, ULPGC, Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics, ULPGC, Las Palmas de Gran Canaria, Spain","2020 XXXV Conference on Design of Circuits and Integrated Systems (DCIS)","30 Nov 2020","2020","","","1","5","Neurosurgeons encounter a number of difficulties during brain tumor resection, even when using advanced imaging techniques. The most important are: excessive extraction of normal (healthy) tissue, and inadvertently leaving small sections of tumor tissue un-resected. This study attempts to help neurosurgeons to accurately determine brain tumor boundaries in the resection process using hyperspectral images. We design real-time classification algorithms to determine the type of tissue located at each pixel using technology that could be made accessible to most hospitals. The pixel classifier function is personalized for each of the 13 in-vivo and in-vitro glioblastoma samples by training in situ working with a region of pixels selected for each label. At a certain point during the resection, the surgeon selects a small area of tumor and healthy tissue from the RGB image and our mathematical model provides the classification map for the full image. We also suggest a personalized separator function for each label in order to find cell families with the hyperspectral signature. Mean intra-patient sensitivity was 89% and 85% for in-vivo and in-vitro samples respectively; however, mean specificity was 96% and 92% respectively. Our model allows the spatial detection of different tumor (or healthy) clones that could be related to phenotype heterogeneity within the brain. We find different vasculature and tumor families within patients which might be related to tumor invasion of the vasculature, and different degrees of tumor malignancy, respectively.","2640-5563","978-1-7281-9132-4","10.1109/DCIS51330.2020.9268641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9268641","hyperspectral imaging;brain tumor;glioblas-toma;pixel classification;tumor heterogeneity;cell signature","Tumors;Surgery;Hyperspectral imaging;Particle separators;Training;In vitro;In vivo","biomedical MRI;brain;cancer;cellular biophysics;image classification;medical image processing;surgery;tumours","hyperspectral images;brain tumor pixels;malignant phenotypes;neurosurgeons;brain tumor resection;excessive extraction;tumor tissue un-resected;brain tumor boundaries;resection process;real-time classification algorithms;pixel classifier function;in-vitro glioblastoma samples;RGB image;classification map;personalized separator function;hyperspectral signature;in-vitro samples;spatial detection;phenotype heterogeneity;tumor families;tumor invasion;tumor malignancy","","","","14","IEEE","30 Nov 2020","","","IEEE","IEEE Conferences"
"Manifold Embedding and Semantic Segmentation for Intraoperative Guidance With Hyperspectral Brain Imaging","D. Ravì; H. Fabelo; G. M. Callic; G. -Z. Yang","The Hamlyn Centre, Imperial College London, London, U.K.; Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas, Spain; Institute for Applied Microelectronics, University of Las Palmas de Gran Canaria, Las Palmas, Spain; The Hamlyn Centre, Imperial College London, London, U.K.","IEEE Transactions on Medical Imaging","30 Aug 2017","2017","36","9","1845","1857","Recent advances in hyperspectral imaging have made it a promising solution for intra-operative tissue characterization, with the advantages of being non-contact, non-ionizing, and non-invasive. Working with hyperspectral images in vivo, however, is not straightforward as the high dimensionality of the data makes real-time processing challenging. In this paper, a novel dimensionality reduction scheme and a new processing pipeline are introduced to obtain a detailed tumor classification map for intra-operative margin definition during brain surgery. However, existing approaches to dimensionality reduction based on manifold embedding can be time consuming and may not guarantee a consistent result, thus hindering final tissue classification. The proposed framework aims to overcome these problems through a process divided into two steps: dimensionality reduction based on an extension of the T-distributed stochastic neighbor approach is first performed and then a semantic segmentation technique is applied to the embedded results by using a Semantic Texton Forest for tissue classification. Detailed in vivo validation of the proposed method has been performed to demonstrate the potential clinical value of the system.","1558-254X","","10.1109/TMI.2017.2695523","European Commission through the FP7 FET Open Programme(grant numbers:ICT-2011.9.2); European Project HELICoiD HypErspectral Imaging Cancer Detection(grant numbers:618080); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7907323","Manifold embedding;hyperspectral imaging;semantic segmentation;brain cancer detection","Hyperspectral imaging;Tumors;Image segmentation;Semantics;Brain;Cancer;Manifolds","biological tissues;brain;cancer;hyperspectral imaging;image classification;image segmentation;medical image processing;semantic networks;stochastic processes","hyperspectral brain imaging;dimensionality reduction scheme;tumor classification map;brain surgery;tissue classification;T-distributed stochastic neighbor approach;semantic segmentation technique;semantic texton forest","Algorithms;Brain;Humans;Neuroimaging;Pattern Recognition, Automated;Semantics","41","","87","CCBY","24 Apr 2017","","","IEEE","IEEE Journals"
"Towards Real-Time Computing of Intraoperative Hyperspectral Imaging for Brain Cancer Detection Using Multi-GPU Platforms","G. Florimbi; H. Fabelo; E. Torti; S. Ortega; M. Marrero-Martin; G. M. Callico; G. Danese; F. Leporati","Department of Electrical, Computer and Biomedical Engineering, University of Pavia, Pavia, Italy; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain; Department of Electrical, Computer and Biomedical Engineering, University of Pavia, Pavia, Italy; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain; Department of Electrical, Computer and Biomedical Engineering, University of Pavia, Pavia, Italy; Department of Electrical, Computer and Biomedical Engineering, University of Pavia, Pavia, Italy","IEEE Access","14 Jan 2020","2020","8","","8485","8501","Several causes make brain cancer identification a challenging task for neurosurgeons during the surgical procedure. The surgeons' naked eye sometimes is not enough to accurately delineate the brain tumor location and extension due to its diffuse nature that infiltrates in the surrounding healthy tissue. For this reason, a support system that provides accurate cancer delimitation is essential in order to improve the surgery outcomes and hence the patient's quality of life. The brain cancer detection system developed as part of the “HypErspectraL Imaging Cancer Detection” (HELICoiD) European project meets this requirement exploiting a non-invasive technique suitable for medical diagnosis: the hyperspectral imaging (HSI). A crucial constraint that this system has to satisfy is providing a real-time response in order to not prolong the surgery. The large amount of data that characterizes the hyperspectral images, and the complex elaborations performed by the classification system make the High Performance Computing (HPC) systems essential to provide real-time processing. The most efficient implementation developed in this work, which exploits the Graphic Processing Unit (GPU) technology, is able to classify the biggest image of the database (worst case) in less than three seconds, largely satisfying the real-time constraint set to 1 minute for surgical procedures, becoming a potential solution to implement hyperspectral video processing in the near future.","2169-3536","","10.1109/ACCESS.2020.2963939","Agencia Canaria de Investigación, Innovación y Sociedad de la Información(grant numbers:ProID2017010164); Spanish Government through PLATINO Project(grant numbers:TEC2017-86722-C4-4-R); European Commission(grant numbers:ICT-2011.9.2); European Commission(grant numbers:618080); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949497","Hyperspectral imaging;high performance computing;graphic processing unit;parallel processing;parallel architectures;image processing;biomedical engineering;medical diagnostic imaging;cancer detection;supervised classification;support vector machines;K-Nearest neighbors;principal component analysis;K-means;majority voting","Surgery;Real-time systems;Cancer detection;Tumors;Graphics processing units;Hyperspectral imaging;Cancer","biomedical optical imaging;brain;cancer;graphics processing units;image classification;medical image processing;surgery;tumours","real-time computing;intraoperative hyperspectral Imaging;multiGPU platforms;surgical procedure;brain tumor location;brain cancer detection system;HypErspectraL Imaging Cancer Detection European project;noninvasive technique suitable;real-time response;hyperspectral images;classification system;high performance computing systems;graphic processing unit technology;hyperspectral video processing;cancer delimitation","","15","","42","CCBY","3 Jan 2020","","","IEEE","IEEE Journals"
"Assessing traumatic brain injuries using EEG power spectral analysis and instantaneous phase","A. Napoli; K. Darvish; I. Obeid","Temple University, Philadelphia, PA, USA; Temple University, Philadelphia, PA, USA; Temple University, Philadelphia, PA, USA","2012 38th Annual Northeast Bioengineering Conference (NEBEC)","31 May 2012","2012","","","3","4","Although mild traumatic brain injury (mTBI) occurs commonly, little is known about how multiple mTBI incidents accumulate over time to produce serious morbidity or how the extent of injury can be quantified. This work presents a rat model that combines deceleration-induced brain trauma with an implantable EEG system for recording injury-induced changes in brain activity. Specifically, we present an analysis method to assess and quantify mTBI by combining information derived from EEG power spectral analysis and EEG phase shifts. We found that in different frequency bands, the correlation coefficient before the crash was notably different from the same coefficient after the crash. This study shows that EEG analysis can be used as a tool to identify and assess brain related injuries.","2160-7028","978-1-4673-1142-7","10.1109/NEBC.2012.6206935","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6206935","","Electroencephalography;Brain injuries;Brain modeling;Surgery;Frequency measurement;Spectral analysis;Correlation","electroencephalography;injuries;prosthetics;spectral analysis","traumatic brain injuries assessment;EEG power spectral analysis;instantaneous phase;mild traumatic brain injury;mTBI;morbidity;rat model;deceleration-induced brain trauma;implantable EEG system;injury-induced changes;brain activity;EEG phase shifts","","2","","5","IEEE","31 May 2012","","","IEEE","IEEE Conferences"
"Detection of brain herniation with spectral coherence analysis of somatosensory evoked potentials","O. Gerovichev; H. M. Naeini; D. L. Sherman; F. Al Hatib; S. Venkatesha; R. Geocadin; D. F. Hanley; N. V. Thakor","Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA; Department of Biomedical Engineering and Neurology, Johns Hopkins University, and Infinite Biomedical Technologies, Baltimore, USA","Proceedings of the Second Joint 24th Annual Conference and the Annual Fall Meeting of the Biomedical Engineering Society] [Engineering in Medicine and Biology","6 Jan 2003","2002","3","","2033","2034 vol.3","Brain herniation was induced in a rat model by expansion of a balloon in the epidural space. Somatosensory evoked potentials (SEPs) from median nerve stimulation were recorded on the cranium and analyzed with spectral coherence algorithm. Post-experimental MRI evaluation of the brains was correlated to coherence analysis results.","1094-687X","0-7803-7612-9","10.1109/IEMBS.2002.1053153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1053153","","Spectral analysis;Coherence;Injuries;Brain modeling;Magnetic resonance imaging;Surgery;Monitoring;Space technology;Cranium;Robustness","somatosensory phenomena;neurophysiology;medical signal detection;bioelectric potentials;spectral analysis;electroencephalography","brain herniation detection;spectral coherence analysis;somatosensory evoked potentials;median nerve stimulation;cranium;spectral coherence algorithm;post-experimental MRI evaluation","","1","","6","IEEE","6 Jan 2003","","","IEEE","IEEE Conferences"
"Hyperspectral VNIR and NIR Sensors for the Analysis of Human Normal Brain and Tumor Tissue","R. Leon; H. Fabelo; S. Ortega; G. M. Callico","Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria, Spain; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria, Spain; Nofima, Norwegian Institute of Food Fisheries and Aquaculture Research, Tromsø, Norway; Institute for Applied Microelectronics (IUMA), University of Las Palmas de Gran Canaria, Spain","2021 XXXVI Conference on Design of Circuits and Integrated Systems (DCIS)","10 Jan 2022","2021","","","1","6","Hyperspectral (HS) imaging (HSI) is arising as a novel imaging technique to delineate brain tumor tissue in surgical-time. The accurate identification of the boundaries between tumor and normal tissue determines prolonged survival. In this work, a preliminary spectral analysis of different brain tissue was performed to identify features between different classes. A HSI dataset of in-vivo brain tissue was acquired by two HS cameras, covering the VNIR (Visual and Near-Infrared) [400–1000 nm] and NIR (Near-Infrared) [900–1700 nm] spectral ranges. Both HS images were registered using feature-based techniques with different geometric transformations to perform a spectral analysis of a certain pixel. Reflectance and absorbance spectral signatures were analyzed identifying spectral absorbance peaks related with hemoglobin and water. Finally, a statistical analysis was performed, where normal tissue (NT), tumor tissue (TT), and hypervascularized tissue (HT) were compared, obtaining highly statistically significance between HT-NT and HT-TT in both VNIR and NIR spectral ranges analyzed, and some no statistically significant differences between TT and NT in certain spectral ranges.","2640-5563","978-1-6654-2116-4","10.1109/DCIS53048.2021.9666168","European Commission(grant numbers:H2020-EU.3.1.4.2); Spanish Government and European Union (FEDER funds)(grant numbers:PID2020-116417RB-C42); Agencia Canaria de Investigacion, Innovacion y Sociedad de la Información (ACIISI); European Social Fund (FSE); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9666168","Hyperspectral imaging;Brain tumors;Image registration;Statistical Analysis","Reflectivity;Brain;Visualization;Statistical analysis;Surgery;Detectors;Spatial resolution","biomedical optical imaging;brain;image classification;image segmentation;medical image processing;neurophysiology;surgery;tumours","preliminary spectral analysis;HSI dataset;in-vivo brain tissue;HS cameras;HS images;feature-based techniques;geometric transformations;absorbance spectral signatures;spectral absorbance peaks;statistical analysis;NIR spectral ranges;hyperspectral VNIR;NIR sensors;human normal brain;hyperspectral imaging;imaging technique;brain tumor tissue","","1","","30","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
"Towards Clinical Hyperspectral Imaging (HSI) Standards: Initial Design for a Microneurosurgical HSI Database","S. Puustinen; J. Hyttinen; G. Hisuin; H. Vrzáková; A. Huotarinen; P. Fält; M. Hauta-Kasari; A. Immonen; T. Koivisto; J. E. Jääskeläinen; A. -P. Elomaa",University of Eastern Finland; University of Eastern Finland; University of Eastern Finland; University of Eastern Finland; University of Eastern Finland; University of Eastern Finland; University of Eastern Finland; Kuopio University Hospital; Kuopio University Hospital; Kuopio University Hospital; Kuopio University Hospital,"2022 IEEE 35th International Symposium on Computer-Based Medical Systems (CBMS)","31 Aug 2022","2022","","","394","399","Hyperspectral imaging (HSI) can enhance the recognition of normal and pathological tissues exposed during microscopic or endoscopic surgeries. However, robust HSI classification models would require meticulous documentation of the tissue-specific optical properties to account for individual variation and intraoperative factors. Publicly available HSI databases are yet scarce or lack relevant metadata, anatomical accuracy, and patients' characteristics which limits the clinical utility of the data. The essential problem is that clinical standards for HSI acquisition and archival do not exist. We collected a total of 52 microsurgical HSI images from 10 patients using our customized HSI system for the operation microscopes. We annotated the relevant microanatomical structures and labeled the tissue areas intended for HSI analyses. Using the collected HSI data, we developed the initial design of the microneurosurgical HSI database. The HSI database allows to display and query anatomical annotations, localizing magnetic resonance imaging (MRI) scans, operation videos, tissue labels, and HSI spectra per individual patient. Here we present the fundamental structures and functions of the HSI database in development. Our clinical HSI database will provide grounds for further development of HSI algorithms and machine-learning applications in microscopic and endoscopic surgery. Future collaborative research will establish clinical HSI standards with approved supporting technologies.","2372-9198","978-1-6654-6770-4","10.1109/CBMS55023.2022.00077","Academy of Finland Flagship Programme, Photonics Research and Innovation (PREIN); Finnish Cultural Foundation; European Regional Development FundEuropean Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9866964","neurosurgery;brain;medical hyperspectral imaging;hyperspectral image database;biomedical imaging","Pathology;Optical microscopy;Databases;Microscopy;Magnetic resonance imaging;Optical imaging;Standards","biological tissues;biomedical MRI;biomedical optical imaging;brain;data visualisation;endoscopes;hyperspectral imaging;image classification;image segmentation;learning (artificial intelligence);medical image processing;surgery","customized HSI system;tissue areas;HSI analyses;collected HSI data;microneurosurgical HSI database;magnetic resonance imaging scans;tissue labels;HSI spectra;clinical HSI database;HSI algorithms;endoscopic surgery;clinical HSI standards;towards clinical hyperspectral imaging standards;normal tissues;pathological tissues;robust HSI classification models;tissue-specific optical properties;available HSI databases;lack relevant metadata;clinical utility;clinical standards;archival;52 microsurgical HSI images","","","","30","IEEE","31 Aug 2022","","","IEEE","IEEE Conferences"
"Robust registration of multispectral images of the cortical surface in neurosurgery","D. Stoyanov; A. Rayshubskiy; E. Hillman","Centre for Medical Image Computing, University College London, UK; Departments of Biomedical Engineering and Radiology, Columbia University, USA; Departments of Biomedical Engineering and Radiology, Columbia University, USA","2012 9th IEEE International Symposium on Biomedical Imaging (ISBI)","12 Jul 2012","2012","","","1643","1646","Optical multispectral imaging during open neurosurgery can provide functional information equivalent to fMRI as well as information about blood flow and oxygenation dynamics. To perform multispectral analysis images acquired sequentially under different illumination wavelengths must be coregistered such that information about the same surface region can be obtained throughout the imaging time period. In this paper, we present a feature driven registration technique that can register multispectral images and is robust to specular reflections and to the variable appearance of the brain's surface under different illumination conditions. We present preliminary results on data from two patients.","1945-8452","978-1-4577-1858-8","10.1109/ISBI.2012.6235892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6235892","multispectral imaging;feature-based registration;deformable surface tracking","Optical surface waves;Optical imaging;Surface waves;Tracking;Neurosurgery","biomedical MRI;biomedical optical imaging;brain;haemodynamics;haemorheology;image registration;medical image processing;neurophysiology;surgery","multispectral image robust registration;cortical surface;neurosurgery;optical multispectral imaging;fMRI;blood flow;oxygenation dynamics;illumination wavelengths;feature driven registration;specular reflections","","6","","12","IEEE","12 Jul 2012","","","IEEE","IEEE Conferences"
