PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31151223","In-Vivo and Ex-Vivo Tissue Analysis through Hyperspectral Imaging Techniques: Revealing the Invisible Features of Cancer","Halicek M, Fabelo H, Ortega S, Callico GM, Fei B.","Cancers (Basel). 2019 May 30;11(6):756. doi: 10.3390/cancers11060756.","Halicek M","Cancers (Basel)","2019","2019/06/02","PMC6627361","","10.3390/cancers11060756"
"35980363","FRaeppli: a multispectral imaging toolbox for cell tracing and dense tissue analysis in zebrafish","Caviglia S, Unterweger IA, Gasiūnaitė A, Vanoosthuyse AE, Cutrale F, Trinh LA, Fraser SE, Neuhauss SCF, Ober EA.","Development. 2022 Aug 15;149(16):dev199615. doi: 10.1242/dev.199615. Epub 2022 Aug 18.","Caviglia S","Development","2022","2022/08/18","","","10.1242/dev.199615"
"32666326","A Percutaneous Catheter for In Vivo Hyperspectral Imaging of Cardiac Tissue: Challenges, Solutions and Future Directions","Armstrong K, Larson C, Asfour H, Ransbury T, Sarvazyan N.","Cardiovasc Eng Technol. 2020 Oct;11(5):560-575. doi: 10.1007/s13239-020-00476-w. Epub 2020 Jul 14.","Armstrong K","Cardiovasc Eng Technol","2020","2020/07/16","PMC7530025","NIHMS1612028","10.1007/s13239-020-00476-w"
"31735901","Ex Vivo Hyperspectral Autofluorescence Imaging and Localization of Fluorophores in Human Eyes with Age-Related Macular Degeneration","Mohammed T, Tong Y, Agee J, Challa N, Heintzmann R, Hammer M, Curcio CA, Ach T, Ablonczy Z, Smith RT.","Vision (Basel). 2018 Sep 26;2(4):38. doi: 10.3390/vision2040038.","Mohammed T","Vision (Basel)","2018","2019/11/19","PMC6835627","","10.3390/vision2040038"
"30859757","Intraoperative multispectral and hyperspectral label-free imaging: A systematic review of in vivo clinical studies","Shapey J, Xie Y, Nabavi E, Bradford R, Saeed SR, Ourselin S, Vercauteren T.","J Biophotonics. 2019 Sep;12(9):e201800455. doi: 10.1002/jbio.201800455. Epub 2019 Apr 29.","Shapey J","J Biophotonics","2019","2019/03/13","PMC6736677","EMS84001","10.1002/jbio.201800455"
"28971622","Perspectives, potentials and trends of ex vivo and in vivo optical molecular pathology","Krafft C, von Eggeling F, Guntinas-Lichius O, Hartmann A, Waldner MJ, Neurath MF, Popp J.","J Biophotonics. 2018 Jan;11(1). doi: 10.1002/jbio.201700236. Epub 2017 Nov 20.","Krafft C","J Biophotonics","2018","2017/10/04","","","10.1002/jbio.201700236"
"35326577","Hyperspectral Imaging for Tissue Classification after Advanced Stage Ovarian Cancer Surgery-A Pilot Study","van Vliet-Pérez SM, van de Berg NJ, Manni F, Lai M, Rijstenberg L, Hendriks BHW, Dankelman J, Ewing-Graham PC, Nieuwenhuyzen-de Boer GM, van Beekhuizen HJ.","Cancers (Basel). 2022 Mar 10;14(6):1422. doi: 10.3390/cancers14061422.","van Vliet-Pérez SM","Cancers (Basel)","2022","2022/03/25","PMC8946803","","10.3390/cancers14061422"
"35884477","Intraoperative In Vivo Imaging Modalities in Head and Neck Cancer Surgical Margin Delineation: A Systematic Review","Young K, Ma E, Kejriwal S, Nielsen T, Aulakh SS, Birkeland AC.","Cancers (Basel). 2022 Jul 14;14(14):3416. doi: 10.3390/cancers14143416.","Young K","Cancers (Basel)","2022","2022/07/27","PMC9323577","","10.3390/cancers14143416"
"35991924","Comparison of fluorescence lifetime and multispectral imaging for quantitative multiplexing in biological tissue","Pal R, Kumar ATN.","Biomed Opt Express. 2022 Jun 9;13(7):3854-3868. doi: 10.1364/BOE.459935. eCollection 2022 Jul 1.","Pal R","Biomed Opt Express","2022","2022/08/22","PMC9352286","","10.1364/BOE.459935"
"35798904","[Artificial intelligence and hyperspectral imaging for image-guided assistance in minimally invasive surgery]","Chalopin C, Nickel F, Pfahl A, Köhler H, Maktabi M, Thieme R, Sucher R, Jansen-Winkeln B, Studier-Fischer A, Seidlitz S, Maier-Hein L, Neumuth T, Melzer A, Müller-Stich BP, Gockel I.","Chirurgie (Heidelb). 2022 Oct;93(10):940-947. doi: 10.1007/s00104-022-01677-w. Epub 2022 Jul 7.","Chalopin C","Chirurgie (Heidelb)","2022","2022/07/07","","","10.1007/s00104-022-01677-w"
"32726640","Hyperspectral imaging for diagnosis and detection of ex-vivo breast cancer","Aboughaleb IH, Aref MH, El-Sharkawy YH.","Photodiagnosis Photodyn Ther. 2020 Sep;31:101922. doi: 10.1016/j.pdpdt.2020.101922. Epub 2020 Jul 26.","Aboughaleb IH","Photodiagnosis Photodyn Ther","2020","2020/07/30","","","10.1016/j.pdpdt.2020.101922"
"32535848","Light source calibration for multispectral imaging in surgery","Ayala L, Seidlitz S, Vemuri A, Wirkert SJ, Kirchner T, Adler TJ, Engels C, Teber D, Maier-Hein L.","Int J Comput Assist Radiol Surg. 2020 Jul;15(7):1117-1125. doi: 10.1007/s11548-020-02195-y. Epub 2020 Jun 13.","Ayala L","Int J Comput Assist Radiol Surg","2020","2020/06/15","PMC7316688","","10.1007/s11548-020-02195-y"
"34441442","Deep Learning Analysis of In Vivo Hyperspectral Images for Automated Intraoperative Nerve Detection","Barberio M, Collins T, Bencteux V, Nkusi R, Felli E, Viola MG, Marescaux J, Hostettler A, Diana M.","Diagnostics (Basel). 2021 Aug 21;11(8):1508. doi: 10.3390/diagnostics11081508.","Barberio M","Diagnostics (Basel)","2021","2021/08/27","PMC8391550","","10.3390/diagnostics11081508"
"35610504","In vivo multi spectral colonoscopy in mice","Hohmann M, Ganzleben I, Grünberg A, Gonzales-Menezes J, Klämpfl F, Lengenfelder B, Liebing E, Heichler C, Neufert C, Becker C, Neurath MF, Waldner MJ, Schmidt M.","Sci Rep. 2022 May 24;12(1):8753. doi: 10.1038/s41598-022-12794-1.","Hohmann M","Sci Rep","2022","2022/05/24","PMC9130268","","10.1038/s41598-022-12794-1"
"30701726","Hyperspectral imaging for tissue classification, a way toward smart laparoscopic colorectal surgery","Baltussen EJM, Kok END, Brouwer de Koning SG, Sanders J, Aalbers AGJ, Kok NFM, Beets GL, Flohil CC, Bruin SC, Kuhlmann KFD, Sterenborg HJCM, Ruers TJM.","J Biomed Opt. 2019 Jan;24(1):1-9. doi: 10.1117/1.JBO.24.1.016002.","Baltussen EJM","J Biomed Opt","2019","2019/02/01","PMC6985687","","10.1117/1.JBO.24.1.016002"
"34359310","VEGF-Targeted Multispectral Optoacoustic Tomography and Fluorescence Molecular Imaging in Human Carotid Atherosclerotic Plaques","Steinkamp PJ, Vonk J, Huisman LA, Meersma GJ, Diercks GFH, Hillebrands JL, Nagengast WB, Zeebregts CJ, Slart RHJA, Boersma HH, van Dam GM.","Diagnostics (Basel). 2021 Jul 7;11(7):1227. doi: 10.3390/diagnostics11071227.","Steinkamp PJ","Diagnostics (Basel)","2021","2021/08/07","PMC8305003","","10.3390/diagnostics11071227"
"34696147","Prediction of In Vivo Laser-Induced Thermal Damage with Hyperspectral Imaging Using Deep Learning","De Landro M, Felli E, Collins T, Nkusi R, Baiocchini A, Barberio M, Orrico A, Pizzicannella M, Hostettler A, Diana M, Saccomandi P.","Sensors (Basel). 2021 Oct 19;21(20):6934. doi: 10.3390/s21206934.","De Landro M","Sensors (Basel)","2021","2021/10/26","PMC8539534","","10.3390/s21206934"
