"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Publisher","Document Type","Open Access","Source"
"Kuddannaya S.; Zhu W.; Bulte J.W.M.","Kuddannaya, Shreyas (55260617600); Zhu, Wei (57209778064); Bulte, Jeff W. M. (7005238843)","55260617600; 57209778064; 7005238843","In Vivo Imaging of Implanted Hyaluronic Acid Hydrogel Biodegradation","2022","Methods in Molecular Biology","2394","","","743","765","22","10.1007/978-1-0716-1811-0_39","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123881887&doi=10.1007%2f978-1-0716-1811-0_39&partnerID=40&md5=b4ee8d901071fca1e591e8a04768c379","Although the use of stem cell therapy for central nervous system (CNS) repair has shown considerable promise, it is still limited by the immediate death of a large fraction of transplanted cells owing to cell handling procedures, injection stress and host immune attack leading to poor therapeutic outcomes. Scaffolding cells in hydrogels is known to protect cells from such immediate death by shielding them from mechanical damage and by averting an immune attack after transplantation. Implanted hydrogels must eventually degrade and facilitate a safe integration of the graft with the surrounding host tissue. Hence, serial monitoring of hydrogel degradation in vivo is pivotal to optimize hydrogel compositions and overall therapeutic efficacy of the graft. We present here methods and protocols to use chemical exchange saturation transfer magnetic resonance imaging (CEST MRI) as a non-invasive, label-free imaging paradigm to monitor the degradation of composite hydrogels made up of thiolated gelatin (Gel-SH), thiolated hyaluronic acid (HA-SH), and poly (ethylene glycol) diacrylate (PEGDA), of which the stiffness and CEST contrast can be fine-tuned by simply varying the composite concentrations and mixing ratios. By individually labeling Gel-S and HA-S with two distinct near-infrared (NIR) dyes, multispectral monitoring of the relative degradation of the components can be used for long-term validation of the CEST MRI findings. © 2022, The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature.","Humana Press Inc.","Book chapter","All Open Access; Green Open Access","Scopus"
"Vonk J.; Kukačka J.; Steinkamp P.J.; de Wit J.G.; Voskuil F.J.; Hooghiemstra W.T.R.; Bader M.; Jüstel D.; Ntziachristos V.; van Dam G.M.; Witjes M.J.H.","Vonk, J. (57204514132); Kukačka, J. (57200583577); Steinkamp, P.J. (57215575282); de Wit, J.G. (57215721290); Voskuil, F.J. (57215586601); Hooghiemstra, W.T.R. (57188637912); Bader, M. (57221410150); Jüstel, D. (57130879500); Ntziachristos, V. (7005538920); van Dam, G.M. (7005713258); Witjes, M.J.H. (6602188753)","57204514132; 57200583577; 57215575282; 57215721290; 57215586601; 57188637912; 57221410150; 57130879500; 7005538920; 7005713258; 6602188753","Multispectral optoacoustic tomography for in vivo detection of lymph node metastases in oral cancer patients using an EGFR-targeted contrast agent and intrinsic tissue contrast: A proof-of-concept study","2022","Photoacoustics","26","","100362","","","","10.1016/j.pacs.2022.100362","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129495212&doi=10.1016%2fj.pacs.2022.100362&partnerID=40&md5=2796b854f8554e459e36bb044ecbf3c9","Oral cancer patients undergo diagnostic surgeries to detect occult lymph node metastases missed by preoperative structural imaging techniques. Reducing these invasive procedures that are associated with considerable morbidity, requires better preoperative detection. Multispectral optoacoustic tomography (MSOT) is a rapidly evolving imaging technique that may improve preoperative detection of (early-stage) lymph node metastases, enabling the identification of molecular changes that often precede structural changes in tumorigenesis. Here, we characterize the optoacoustic properties of cetuximab-800CW, a tumor-specific fluorescent tracer showing several photophysical properties that benefit optoacoustic signal generation. In this first clinical proof-of-concept study, we explore its use as optoacoustic to differentiate between malignant and benign lymph nodes. We characterize the appearance of malignant lymph nodes and show differences in the distribution of intrinsic chromophores compared to benign lymph nodes. In addition, we suggest several approaches to improve the efficiency of follow-up studies. © 2022 The Authors","Elsevier GmbH","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Park B.; Bang C.H.; Lee C.; Han J.H.; Choi W.; Kim J.; Park G.S.; Rhie J.W.; Lee J.H.; Kim C.","Park, B. (57200376082); Bang, C.H. (44860975000); Lee, C. (57215683456); Han, J.H. (57203488911); Choi, W. (55732416700); Kim, J. (50461757700); Park, G.S. (8406567900); Rhie, J.W. (56206941500); Lee, J.H. (57190277285); Kim, C. (57202234822)","57200376082; 44860975000; 57215683456; 57203488911; 55732416700; 50461757700; 8406567900; 56206941500; 57190277285; 57202234822","3D wide-field multispectral photoacoustic imaging of human melanomas in vivo: a pilot study","2021","Journal of the European Academy of Dermatology and Venereology","35","3","","669","676","7","10.1111/jdv.16985","51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097049326&doi=10.1111%2fjdv.16985&partnerID=40&md5=4a163389d5224c64d319cdb8681bfbe3","Background: The Breslow depth is an important parameter to determine the excision margin and prognosis of melanoma. However, it is difficult to accurately determine the actual Breslow depth before surgery using the existing ocular micrometer and biopsy technique. Objectives: To evaluate the use of 3D wide-field multispectral photoacoustic imaging to non-invasively measure depth and outline the boundary of melanomas for optimal surgical margin selection. Methods: Six melanoma patients were examined in vivo using the 3D multispectral photoacoustic imaging system. For five cases of melanomas (one in situ, three nodular, and one acral lentiginous type melanoma), the spectrally unmixed photoacoustic depths were calculated and compared against histopathological depths. Results: Spectrally unmixed photoacoustic depths and histopathological depths match well within a mean absolute error of 0.36 mm. In particular, the measured minimum and maximum depths in the in situ and nodular type of melanoma were 0.6 and 9.1 mm, respectively. In the 3D photoacoustic image of one metastatic melanoma, feeding vessels were visualized in the melanoma, suggesting the neovascularization around the tumour. Conclusions: The 3D multispectral photoacoustic imaging not only provides well-measured depth and sizes of various types of melanomas, it also visualizes the metastatic type of melanoma. Obtaining accurate depth and boundary information of melanoma before surgery would play a useful role in the complete excision of melanoma during surgery. © 2020 European Academy of Dermatology and Venereology","John Wiley and Sons Inc","Article","","Scopus"
"Junk D.; Krämer S.; Broschewitz J.; Laura H.; Massa C.; Moulla Y.; Hoang N.A.; Monecke A.; Eichfeld U.; Bechmann I.; Lordick F.; Seliger B.; Kallendrusch S.","Junk, David (57271206500); Krämer, Sebastian (57202336528); Broschewitz, Johannes (56716432500); Laura, Hennig (57272038300); Massa, Chiara (24721945200); Moulla, Yousef (57194897879); Hoang, Ngoc Anh (57203388331); Monecke, Astrid (56339817100); Eichfeld, Uwe (6701796342); Bechmann, Ingo (7003528377); Lordick, Florian (6602763138); Seliger, Barbara (56179312300); Kallendrusch, Sonja (54385368000)","57271206500; 57202336528; 56716432500; 57272038300; 24721945200; 57194897879; 57203388331; 56339817100; 6701796342; 7003528377; 6602763138; 56179312300; 54385368000","Human tissue cultures of lung cancer predict patient susceptibility to immune-checkpoint inhibition","2021","Cell Death Discovery","7","1","264","","","","10.1038/s41420-021-00651-5","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115721197&doi=10.1038%2fs41420-021-00651-5&partnerID=40&md5=46480128a9d4158e3000ee1fe320bd6f","Despite novel immunotherapies being approved and established for the treatment of non-small cell lung cancer (NSCLC), ex vivo models predicting individual patients’ responses to immunotherapies are missing. Especially immune modulating therapies with moderate response rates urge for biomarkers and/or assays to determine individual prediction of treatment response and investigate resistance mechanisms. Here, we describe a standardized ex vivo tissue culture model to investigate individual tumor responses. NSCLC tissue cultures preserve morphological characteristics of the baseline tumor specimen for up to 12 days ex vivo and also maintain T-cell function for up to 10 days ex vivo. A semi-automated analysis of proliferating and apoptotic tumor cells was used to evaluate tissue responses to the PD-1 inhibitor nivolumab (n = 12), from which two cases could be successfully correlated to the clinical outcome. T-cell responses upon nivolumab treatment were investigated by flow cytometry and multispectral imaging. Alterations in the frequency of the Treg population and reorganization of tumor tissues could be correlated to nivolumab responsiveness ex vivo. Thus, our findings not only demonstrate the functionality of T cells in NSCLC slice cultures up to 10 days ex vivo, but also suggests this model for stratifying patients for treatment selection and to investigate in depth the tumor-associated T-cell regulation. © 2021, The Author(s).","Springer Nature","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Placke J.-M.; Mertens D.; Tasdogan A.; Chorti E.; Schadendorf D.; Ugurel S.; Roesch A.; Stoffels I.; Klode J.","Placke, Jan-Malte (57201117726); Mertens, Delphine (57210744478); Tasdogan, Alpaslan (55756798500); Chorti, Eleftheria (57207355467); Schadendorf, Dirk (57999787700); Ugurel, Selma (7004180485); Roesch, Alexander (7003900076); Stoffels, Ingo (37012948100); Klode, Joachim (25630944100)","57201117726; 57210744478; 55756798500; 57207355467; 57999787700; 7004180485; 7003900076; 37012948100; 25630944100","Multispectral optoacoustic tomography to differentiate between lymph node metastases and coronavirus-19 vaccine-associated lymphadenopathy","2023","Journal of the European Academy of Dermatology and Venereology","","","","","","","10.1111/jdv.18847","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146456939&doi=10.1111%2fjdv.18847&partnerID=40&md5=ab4b3c7ee7bd6ddc6a536d996f852bff","Introduction: Worldwide mass vaccination for COVID-19 started in late 2020. COVID-19 vaccines cause benign hypermetabolic lymphadenopathies. Clinical stratification between vaccine-associated benign lymphadenopathies and malignant lymphadenopathies through ultrasound, MRI or FDG PET-CT is not feasible. This leads to unnecessary lymph node biopsies, excisions and even radical lymph node dissections. Therefore, to avoid unnecessary surgeries, we assessed whether noninvasive multispectral optoacoustic tomography (MSOT) enables a better differentiation between benign and malignant lymphadenopathies. Patients and Methods: All patients were vaccinated for COVID-19. We used MSOT to image deoxy- and oxyhaemoglobin levels in lymph nodes of tumour patients to assess metastatic status. MSOT imaging results were compared with standard ultrasound and pathological lymph node analysis. We also evaluated the influences of gender, age and time between vaccination and MSOT measurement of lymph nodes on the measured deoxy- and oxyhaemoglobin levels in patients with reactive lymph node changes. Results: Multispectral optoacoustic tomography was able to identify cancer-free lymph nodes in vivo without a single false negative (33 total lymph nodes), with 100% sensitivity and 50% specificity. A statistically significant higher deoxyhaemoglobin content was detected in patients with tumour manifestations in the lymph node (p = 0.02). There was no statistically significant difference concerning oxyhaemoglobin (p = 0.65). Age, sex and time between vaccination and MSOT measurement had statistically non-significant impact on deoxy- and oxyhaemoglobin levels in patients with reactive lymph nodes. Conclusion: Here, we show that MSOT measurement is an advantageous clinical approach to differentiate between vaccine-associated benign lymphadenopathy and malignant lymph node metastases based on the deoxygenation level in lymph nodes. © 2023 The Authors. Journal of the European Academy of Dermatology and Venereology published by John Wiley & Sons Ltd on behalf of European Academy of Dermatology and Venereology.","John Wiley and Sons Inc","Article","","Scopus"
"Pfahl A.; Köhler H.; Thomaßen M.T.; Maktabi M.; Bloße A.M.; Mehdorn M.; Lyros O.; Moulla Y.; Niebisch S.; Jansen-Winkeln B.; Chalopin C.; Gockel I.","Pfahl, Annekatrin (57224313871); Köhler, Hannes (57201504504); Thomaßen, Madeleine T. (57761284000); Maktabi, Marianne (56394309400); Bloße, Albrecht M. (57220482900); Mehdorn, Matthias (57191624229); Lyros, Orestis (25621668700); Moulla, Yusef (57194897879); Niebisch, Stefan (37033133300); Jansen-Winkeln, Boris (56090880300); Chalopin, Claire (6506500642); Gockel, Ines (6701882791)","57224313871; 57201504504; 57761284000; 56394309400; 57220482900; 57191624229; 25621668700; 57194897879; 37033133300; 56090880300; 6506500642; 6701882791","Video: Clinical evaluation of a laparoscopic hyperspectral imaging system","2022","Surgical Endoscopy","36","10","","7794","7799","5","10.1007/s00464-022-09282-y","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132658913&doi=10.1007%2fs00464-022-09282-y&partnerID=40&md5=ee39ac694b272de6b1ebc0e3ebbca94c","Background: Hyperspectral imaging (HSI) during surgical procedures is a new method for perfusion quantification and tissue discrimination. Its use has been limited to open surgery due to large camera sizes, missing color video, or long acquisition times. A hand-held, laparoscopic hyperspectral camera has been developed now to overcome those disadvantages and evaluated clinically for the first time. Methods: In a clinical evaluation study, gastrointestinal resectates of ten cancer patients were investigated using the laparoscopic hyperspectral camera. Reference data from corresponding anatomical regions were acquired with a clinically approved HSI system. An image registration process was executed that allowed for pixel-wise comparisons of spectral data and parameter images (StO2: oxygen saturation of tissue, NIR PI: near-infrared perfusion index, OHI: organ hemoglobin index, TWI: tissue water index) provided by both camera systems. The mean absolute error (MAE) and root mean square error (RMSE) served for the quantitative evaluations. Spearman’s rank correlation between factors related to the study design like the time of spectral white balancing and MAE, respectively RMSE, was calculated. Results: The obtained mean MAEs between the TIVITA® Tissue and the laparoscopic hyperspectral system resulted in StO2: 11% ± 7%, NIR PI: 14±3, OHI: 14± 5, and TWI: 10 ± 2. The mean RMSE between both systems was 0.1±0.03 from 500 to 750 nm and 0.15 ±0.06 from 750 to 1000 nm. Spearman’s rank correlation coefficients showed no significant correlation between MAE or RMSE and influencing factors related to the study design. Conclusion: Qualitatively, parameter images of the laparoscopic system corresponded to those of the system for open surgery. Quantitative deviations were attributed to technical differences rather than the study design. Limitations of the presented study are addressed in current large-scale in vivo trials. © 2022, The Author(s).","Springer","Article","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
"Caviglia S.; Unterweger I.A.; Gasiūnaitė A.; Vanoosthuyse A.E.; Cutrale F.; Trinh L.A.; Fraser S.E.; Neuhauss S.C.F.; Ober E.A.","Caviglia, Sara (25824629700); Unterweger, Iris A. (57470698800); Gasiūnaitė, Akvilė (57471368700); Vanoosthuyse, Alexandre E. (57471032800); Cutrale, Francesco (55260141100); Trinh, Le A. (35495555900); Fraser, Scott E. (7201735128); Neuhauss, Stephan C F (6701398760); Ober, Elke A. (6701580664)","25824629700; 57470698800; 57471368700; 57471032800; 55260141100; 35495555900; 7201735128; 6701398760; 6701580664","FRaeppli: a multispectral imaging toolbox for cell tracing and dense tissue analysis in zebrafish","2022","Development (Cambridge, England)","149","16","","","","","10.1242/dev.199615","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136910297&doi=10.1242%2fdev.199615&partnerID=40&md5=fa330e131478a9124fdcd260b55168c8","Visualizing cell shapes and interactions of differentiating cells is instrumental for understanding organ development and repair. Across species, strategies for stochastic multicolour labelling have greatly facilitated in vivo cell tracking and mapping neuronal connectivity. Yet integrating multi-fluorophore information into the context of developing zebrafish tissues is challenging given their cytoplasmic localization and spectral incompatibility with common fluorescent markers. Inspired by Drosophila Raeppli, we developed FRaeppli (Fish-Raeppli) by expressing bright membrane- or nuclear-targeted fluorescent proteins for efficient cell shape analysis and tracking. High spatiotemporal activation flexibility is provided by the Gal4/UAS system together with Cre/lox and/or PhiC31 integrase. The distinct spectra of the FRaeppli fluorescent proteins allow simultaneous imaging with GFP and infrared subcellular reporters or tissue landmarks. We demonstrate the suitability of FRaeppli for live imaging of complex internal organs, such as the liver, and have tailored hyperspectral protocols for time-efficient acquisition. Combining FRaeppli with polarity markers revealed previously unknown canalicular topologies between differentiating hepatocytes, reminiscent of the mammalian liver, suggesting common developmental mechanisms. The multispectral FRaeppli toolbox thus enables the comprehensive analysis of intricate cellular morphologies, topologies and lineages at single-cell resolution in zebrafish. © 2022. Published by The Company of Biologists Ltd.","NLM (Medline)","Article","All Open Access; Green Open Access","Scopus"
"Meershoek P.; KleinJan G.H.; van Willigen D.M.; Bauwens K.P.; Spa S.J.; van Beurden F.; van Gennep E.J.; Mottrie A.M.; van der Poel H.G.; Buckle T.; van Leeuwen F.W.B.; van Oosterom M.N.","Meershoek, Philippa (57191952678); KleinJan, Gijs H. (55939384500); van Willigen, Danny M. (56291638900); Bauwens, Kevin P. (57204518078); Spa, Silvia J. (56292420100); van Beurden, Florian (57214332379); van Gennep, Erik J. (17347224300); Mottrie, Alexandre M. (6602157982); van der Poel, Henk G. (7004230990); Buckle, T. (6507849216); van Leeuwen, Fijs W. B. (24447590700); van Oosterom, Matthias N. (56291986200)","57191952678; 55939384500; 56291638900; 57204518078; 56292420100; 57214332379; 17347224300; 6602157982; 7004230990; 6507849216; 24447590700; 56291986200","Multi-wavelength fluorescence imaging with a da Vinci Firefly—a technical look behind the scenes","2021","Journal of Robotic Surgery","15","5","","751","760","9","10.1007/s11701-020-01170-8","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096013837&doi=10.1007%2fs11701-020-01170-8&partnerID=40&md5=e33ff56143206b73edecdf4906b00426","The field of fluorescence-guided surgery builds on colored fluorescent tracers that have become available for different clinical applications. Combined use of complementary fluorescent emissions can allow visualization of different anatomical structures (e.g. tumor, lymphatics and nerves) in the same patient. With the aim to assess the requirements for multi-color fluorescence guidance under in vivo conditions, we thoroughly characterized two FDA-approved laparoscopic Firefly camera systems available on the da Vinci Si or da Vinci Xi surgical robot. In this process, we studied the cameras’ performance with respect to the photophysical properties of the FDA-approved dyes Fluorescein and ICG. Our findings indicate that multi-wavelength fluorescence imaging of Fluorescein and ICG is possible using clinical-grade fluorescence laparoscopes, but critical factors for success include the photophysical dye properties, imaging system performance and the amount of accumulated dye. When comparing the camera performance, the Xi system provided more effective excitation (adaptions in the light source) and higher detection sensitivity (chip-on-a-tip and/or enhanced image processing) for both Fluorescein and ICG. Both systems can readily be used for multi-wavelength fluorescence imaging of Fluorescein and ICG under clinically relevant conditions. With that, another step has been made towards the routine implementation of multi-wavelength image-guided surgery concepts. © 2020, The Author(s).","Springer Science and Business Media Deutschland GmbH","Article","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
"Goebel C.A.; Brown E.; Fahlbusch F.B.; Wagner A.L.; Buehler A.; Raupach T.; Hohmann M.; Späth M.; Burton N.; Woelfle J.; Schmidt M.; Hartner A.; Regensburger A.P.; Knieling F.","Goebel, Colin A. (57780936200); Brown, Emma (57210376951); Fahlbusch, Fabian B. (26646410900); Wagner, Alexandra L. (57212135658); Buehler, Adrian (57345661700); Raupach, Thomas (57211938816); Hohmann, Martin (43461565300); Späth, Moritz (57205297521); Burton, Neal (15080697900); Woelfle, Joachim (6602851509); Schmidt, Michael (57205650028); Hartner, Andrea (6603902982); Regensburger, Adrian P. (56891368000); Knieling, Ferdinand (55471950700)","57780936200; 57210376951; 26646410900; 57212135658; 57345661700; 57211938816; 43461565300; 57205297521; 15080697900; 6602851509; 57205650028; 6603902982; 56891368000; 55471950700","High-resolution label-free mapping of murine kidney vasculature by raster-scanning optoacoustic mesoscopy: an ex vivo study","2022","Molecular and Cellular Pediatrics","9","1","13","","","","10.1186/s40348-022-00144-0","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133434101&doi=10.1186%2fs40348-022-00144-0&partnerID=40&md5=e16686662ce90fbe12b07b4faa7e72ab","Background: Chronic kidney disease (CKD) is a global burden affecting both children and adults. Novel imaging modalities hold great promise to visualize and quantify structural, functional, and molecular organ damage. The aim of the study was to visualize and quantify murine renal vasculature using label-free raster scanning optoacoustic mesoscopy (RSOM) in explanted organs from mice with renal injury. Material and methods: For the experiments, freshly bisected kidneys of alpha 8 integrin knock-out (KO) and wildtype mice (WT) were used. A total of n=7 female (n=4 KO, n=3 WT) and n=6 male animals (n=2 KO, n=4 WT) aged 6 weeks were examined with RSOM optoacoustic imaging systems (RSOM Explorer P50 at SWL 532nm and/or ms-P50 imaging system at 532 nm, 555 nm, 579 nm, and 606 nm). Images were reconstructed using a dedicated software, analyzed for size and vascular area and compared to standard histologic sections. Results: RSOM enabled mapping of murine kidney size and vascular area, revealing differences between kidney sizes of male (m) and female (f) mice (merged frequencies (MF) f vs. m: 52.42±6.24 mm2 vs. 69.18±15.96 mm2, p=0.0156) and absolute vascular area (MF f vs. m: 35.67±4.22 mm2 vs. 49.07±13.48 mm2, p=0.0036). Without respect to sex, the absolute kidney area was found to be smaller in knock-out (KO) than in wildtype (WT) mice (WT vs. KO: MF: p=0.0255) and showed a similar trend for the relative vessel area (WT vs. KO: MF p=0.0031). Also the absolute vessel areas of KO compared to WT were found significantly different (MF p=0.0089). A significant decrease in absolute vessel area was found in KO compared to WT male mice (MF WT vs. KO: 54.37±9.35 mm2 vs. 34.93±13.82 mm2, p=0.0232). In addition, multispectral RSOM allowed visualization of oxygenated and deoxygenated parenchymal regions by spectral unmixing. Conclusion: This study demonstrates the capability of RSOM for label-free visualization of differences in vascular morphology in ex vivo murine renal tissue at high resolution. Due to its scalability optoacoustic imaging provides an emerging modality with potential for further preclinical and clinical imaging applications. © 2022, The Author(s).","Springer Science and Business Media Deutschland GmbH","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Mainard N.; Tsiakaka O.; Li S.; Denoulet J.; Messaoudene K.; Vialle R.; Feruglio S.","Mainard, Nicolas (57471051900); Tsiakaka, Olivier (57039026500); Li, Songlin (57226509014); Denoulet, Julien (24476287600); Messaoudene, Karim (57700277600); Vialle, Raphael (55281953000); Feruglio, Sylvain (9738566400)","57471051900; 57039026500; 57226509014; 24476287600; 57700277600; 55281953000; 9738566400","Intraoperative Optical Monitoring of Spinal Cord Hemodynamics Using Multiwavelength Imaging System","2022","Sensors","22","10","3840","","","","10.3390/s22103840","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130390844&doi=10.3390%2fs22103840&partnerID=40&md5=f9aecee79d4d71c1112866626836c5d2","The spinal cord is a major structure of the central nervous system allowing, among other things, the transmission of afferent sensory and efferent motor information. During spinal surgery, such as scoliosis correction, this structure can be damaged, resulting in major neurological damage to the patient. To date, there is no direct way to monitor the oxygenation of the spinal cord intraoperatively to reflect its vitality. This is essential information that would allow surgeons to adapt their procedure in case of ischemic suffering of the spinal cord. We report the development of a specific device to monitor the functional status of biological tissues with high resolution. The device, operating with multiple wavelengths, uses Near-InfraRed Spectroscopy (NIRS) in combination with other additional sensors, including ElectroNeuroGraphy (ENG). In this paper, we focused primarily on aspects of the PhotoPlethysmoGram (PPG), emanating from four different light sources to show in real time and record biological signals from the spinal cord in transmission and reflection modes. This multispectral system was successfully tested in in vivo experiments on the spinal cord of a pig for specific medical applications. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
