Publication Type;Article Title;Abstract;Publication Year;DOI
C;Hyperspectral Imaging for In-Vivo/Ex-Vivo Tissue Analysis of Human Brain Cancer;Accurate identification of tumor boundaries during brain cancer surgery determines the quality of life of the patient. Different intraoperative guidance tools are currently employed during the resection tumor but having several limitations. Hyperspectral imaging (HSI) is arising as a label-free and non-ionizing technique that could assist neurosurgeons during surgical procedures. In this paper, an analysis between in-vivo and ex-vivo human brain tumor samples using HSI has been performed to evaluate the correlation between both types of samples. Spectral ratios of the oxygenated and deoxygenated hemoglobin were employed to distinguish between normal tissue, tumor tissue and blood vessels. A database composed by seven in-vivo and fourteen ex-vivo hyperspectral images obtained from seven different patients diagnosed with glioblastoma Grade IV, metastatic secondary breast cancer, meningioma Grade I and II, and astrocytoma (glioma) Grade II. 44,964 pixels labeled pixels were employed in this work. The proposed method achieved discrimination between different tissue types using the proposed spectral ratio. Comparison between in-vivo and ex-vivo samples indicated that ex-vivo samples generate higher hemoglobin ratios. Moreover, vascular enhanced maps were generated using the spectral ratio, targeting real-time intraoperative surgical assistance.;2022;10.1117/12.2611420
C;Single-pixel hyperspectral imaging for real-time cancer detection: detecting damage in ex vivo porcine tissue samples;We are developing a single-pixel hyperspectral imaging system based on compressive sensing that acquires spatial and spectral information simultaneously. Our spectral imaging system uses autofluorescencent emission from collagen (400 nm) and NAD(P)H (475 nm), as well as, differences in the optical reflectance spectra as diagnostics for differentiating between healthy and diseased tissue. In this study, we demonstrate the ability of our imaging system to discriminate between healthy and damaged porcine epidermal tissue. Healthy porcine epidermal tissue samples (n=11) were imaged ex vivo using our hyperspectral system. The amount of NAD(P) H emission and the reflectance properties were approximately constant across the surface of healthy tissue samples. The tissue samples were then thermally damaged using an 1850 nm thulium fiber laser and re-imaged after laser irradiation. The damaged regions were clearly visible in the hyperspectral images as the thermal damage altered the fluorescent emission of NAD(P) H and changed the scattering properties of the tissue. The extent of the damaged regions was determined based on the hyperspectral images and these estimates were compared to damage extents measured in white light images acquired with a traditional camera. The extent of damage determined via hyperspectral imaging was in good agreement with estimates based on white light imaging indicating that our system is capable of differentiating between healthy and damaged tissue. Possible applications of our single pixel hyperspectral imaging system range from real-time determination of tumor margins during surgery to the use of this technique in the pathology lab to aid with cancer diagnosis and staging.;2016;10.1117/12.2211408
J;Multispectral confocal microendoscope for in vivo and in situ imaging;We describe the design and operation of a multispectral confocal microendoscope. This fiber-based fluorescence imaging system consists of a slit-scan confocal microscope coupled to an imaging catheter that is designed to be minimally invasive and allow for cellular level imaging in vivo. The system can operate in two imaging modes. The grayscale mode of operation provides high resolution real-time in vivo images showing the intensity of fluorescent signal from the specimen. The multispectral mode of operation uses a prism as a dispersive element to collect a full multispectral image of the fluorescence emission. The instrument can switch back and forth nearly instantaneously between the two imaging modes (less than half a second). In the current configuration, the multispectral confocal microendoscope achieves 3-mu m lateral resolution and 30-mu m axial resolution. The system records light from 500 to 750 nm, and the minimum resolvable wavelength difference varies from 2.9 to 8.3 nm over this spectral range. Grayscale and multispectral imaging results from ex-vivo human tissues and small animal tissues are presented. (C) 2008 Society of Photo-Optical Instrumentation Engineers.;2008;10.1117/1.2950313
C;Hyperspectral angular domain imaging for ex-vivo breast tumor detection;An angular domain spectroscopic imaging system was built and validated using fresh ex vivo breast tissue samples (similar to 2 mm thick). The hyperspectral system consisted of a halogen lamp, collimation optics, scanning stage with controller, a silicon micro-machined micro-channel array, and a pushbroom spectral imager. As a proof of concept, spectral data cubes acquired from tissue samples were input into principal component analysis and Mahalanobis discriminant analysis to differentiate between spectral signatures of breast tumor and normal tissue. It is proposed that the results from training sets can be used to construct a set of classifiers to enable tumor detection in samples representative of the surgical margins.;2013;10.1117/12.2004663
J;Intraoperative multispectral and hyperspectral label-free imaging: A systematic review of in vivo clinical studies;Multispectral and hyperspectral imaging (HSI) are emerging optical imaging techniques with the potential to transform the way surgery is performed but it is not clear whether current systems are capable of delivering real-time tissue characterization and surgical guidance. We conducted a systematic review of surgical in vivo label-free multispectral and HSI systems that have been assessed intraoperatively in adult patients, published over a 10-year period to May 2018. We analysed 14 studies including 8 different HSI systems. Current in-vivo HSI systems generate an intraoperative tissue oxygenation map or enable tumour detection. Intraoperative tissue oxygenation measurements may help to predict those patients at risk of postoperative complications and in-vivo intraoperative tissue characterization may be performed with high specificity and sensitivity. All systems utilized a line-scanning or wavelength-scanning method but the spectral range and number of spectral bands employed varied significantly between studies and according to the system's clinical aim. The time to acquire a hyperspectral cube dataset ranged between 5 and 30 seconds. No safety concerns were reported in any studies. A small number of studies have demonstrated the capabilities of intraoperative in-vivo label-free HSI but further work is needed to fully integrate it into the current surgical workflow.;2019;10.1002/jbio.201800455
J;Preliminary Results of Ex Vivo Multispectral Photoacoustic Imaging in the Management of Thyroid Cancer;OBJECTIVE. The purpose of this study was to validate whether ex vivo multispectral photoacoustic imaging can be used to differentiate malignant tissue, benign nodules, and normal human thyroid tissue. SUBJECTS AND METHODS. Fifty patients undergoing thyroidectomy because of thyroid lesions participated in this study. Multispectral photoacoustic imaging was performed on surgically excised thyroid tissue, and chromophore images that represented optical absorption of deoxyhemoglobin, oxyhemoglobin, lipid, and water were reconstructed. After the imaging procedure, the pathologist marked malignant tissue, benign nodules, and normal regions on histopathologic slides, and digital images of the marked histopathologic slides were obtained. The histopathologic images were coregistered with chromophore images. Areas corresponding to malignant tissue, benign nodules, and normal tissue were defined on the chromophore images. Pixel values within each area were averaged to determine the mean intensities of deoxyhemoglobin, oxyhemoglobin, lipid, and water. RESULTS. There was a statistically significant difference between malignant and benign nodules with respect to mean intensity of deoxyhemoglobin (p = 0.014). There was a difference between malignant and normal tissue in mean intensity of deoxyhemoglobin (p = 0.003), lipid (p = 0.001), and water (p < 0.0001). A difference between benign nodules and normal tissue was found in mean intensity of oxyhemoglobin (p < 0.0001), lipid (p < 0.0001), and water (p < 0.0001). The sensitivity, specificity, and positive and negative predictive values of the system tested in differentiating malignant from nonmalignant thyroid tissue were 69.2%, 96.9%, 81.8%, and 93.9%. CONCLUSION. The preliminary results of this ex vivo human thyroid study suggest that multispectral photoacoustic imaging can be used to differentiate malignant and benign nodules and normal human thyroid tissue.;2014;10.2214/AJR.13.11433
J;In-Vivo and Ex-Vivo Tissue Analysis through Hyperspectral Imaging Techniques: Revealing the Invisible Features of Cancer;In contrast to conventional optical imaging modalities, hyperspectral imaging (HSI) is able to capture much more information from a certain scene, both within and beyond the visual spectral range (from 400 to 700 nm). This imaging modality is based on the principle that each material provides different responses to light reflection, absorption, and scattering across the electromagnetic spectrum. Due to these properties, it is possible to differentiate and identify the different materials/substances presented in a certain scene by their spectral signature. Over the last two decades, HSI has demonstrated potential to become a powerful tool to study and identify several diseases in the medical field, being a non-contact, non-ionizing, and a label-free imaging modality. In this review, the use of HSI as an imaging tool for the analysis and detection of cancer is presented. The basic concepts related to this technology are detailed. The most relevant, state-of-the-art studies that can be found in the literature using HSI for cancer analysis are presented and summarized, both in-vivo and ex-vivo. Lastly, we discuss the current limitations of this technology in the field of cancer detection, together with some insights into possible future steps in the improvement of this technology.;2019;10.3390/cancers11060756
C;Tissue classification for laparoscopic image understanding based on multispectral texture analysis;Intra-operative tissue classification is one of the prerequisites for providing context-aware visualization in computer assisted minimally invasive surgeries. As many anatomical structures are difficult to differentiate in conventional RGB medical images, we propose a classification method based on multispectral image patches. In a comprehensive ex vivo study we show (1) that multispectral imaging data is superior to RGB data for organ tissue classification when used in conjunction with widely applied feature descriptors and (2) that combining the tissue texture with the reflectance spectrum improves the classification performance. Multispectral tissue analysis could thus evolve as a key enabling technique in computer-assisted laparoscopy.;2016;10.1117/12.2216090
J;Tissue classification for laparoscopic image understanding based on multispectral texture analysis;Intraoperative tissue classification is one of the prerequisites for providing context-aware visualization in computer-assisted minimally invasive surgeries. As many anatomical structures are difficult to differentiate in conventional RGB medical images, we propose a classification method based on multispectral image patches. In a comprehensive ex vivo study through statistical analysis, we show that (1) multispectral imaging data are superior to RGB data for organ tissue classification when used in conjunction with widely applied feature descriptors and (2) combining the tissue texture with the reflectance spectrum improves the classification performance. The classifier reaches an accuracy of 98.4% on our dataset. Multispectral tissue analysis could thus evolve as a key enabling technique in computer-assisted laparoscopy. (C) 2017 Society of Photo-Optical Instrumentation Engineers (SPIE);2017;10.1117/1.JMI.4.1.015001
C;Hyperspectral imaging based on compressive sensing to determine cancer margins in human pancreatic tissue ex vivo;Pancreatic cancer is the fourth leading cause of cancer death in the US. Currently, surgery is the only treatment that offers a chance of cure, however, accurately identifying tumor margins in real-time is difficult. Research has demonstrated that optical spectroscopy can be used to distinguish between healthy and diseased tissue. The design of a single-pixel imaging system for cancer detection is discussed. The system differentiates between healthy and diseased tissue based on differences in the optical reflectance spectra of these regions. In this study, pancreatic tissue samples from 6 patients undergoing Whipple procedures are imaged with the system (total number of tissue sample imaged was N=11). Regions of healthy and unhealthy tissue are determined based on SAM analysis of these spectral images. Hyperspectral imaging results are then compared to white light imaging and histological analysis. Cancerous regions were clearly visible in the hyperspectral images. Margins determined via spectral imaging were in good agreement with margins identified by histology, indicating that hyperspectral imaging system can differentiate between healthy and diseased tissue. After imaging the system was able to detect cancerous regions with a sensitivity of 74.50 +/- 5.89% and a specificity of 75.53 +/- 10.81%. Possible applications of this imaging system include determination of tumor margins during surgery/biopsy and assistance with cancer diagnosis and staging.;2017;10.1117/12.2250387
